station,bufkit,valid,precip,stratum,cloud_base,cat,rap_date,rap_run,rap_fhr,rap_ok,sfc_tmpc,sfc_dwpc,freeze_ft,pwat_mm,cape,lclp_mb,lapse_3k,temp_beam_c,temp_base_c,dwpc_beam_c,rh_beam_pct,sat_deficit_c,cloud_phase,beam_vs_freeze,n_levels
HZL,kmpo,2026-03-06 02:55,0.18,heavy,600.0,beam_in_cloud,2026/03/06,0,2,True,1.64,1.42,8490,27.06,0.0,949.85,0.84,1.55,1.5,1.47,99.4,0.1,warm,bright_band,50
HZL,kmpo,2026-03-17 01:35,0.22,heavy,1200.0,beam_in_cloud,2026/03/17,0,1,True,12.14,12.03,8105,27.59,0.0,924.76,4.99,1.17,10.72,1.06,99.2,0.1,warm,bright_band,50
HZL,kmpo,2026-03-23 01:55,0.2,heavy,300.0,beam_in_cloud,2026/03/23,0,1,True,9.84,9.28,8006,28.04,0.0,932.63,4.11,0.88,9.34,0.75,99.1,0.1,warm,bright_band,50
HZL,kmpo,2026-03-22 23:35,0.18,heavy,4000.0,beam_in_cloud,2026/03/22,12,11,True,14.34,13.45,8053,27.44,50.66,925.25,5.73,1.01,9.51,0.42,95.8,0.6,warm,bright_band,50
HZL,kmpo,2026-03-27 02:55,0.3,extreme,4200.0,beam_in_cloud,2026/03/27,0,2,True,16.74,8.98,9618,27.25,0.0,834.68,5.71,2.42,9.03,0.81,89.1,1.6,warm,below_freeze,50
HZL,kmpo,2026-03-11 23:55,0.45,extreme,1800.0,beam_in_cloud,2026/03/11,12,11,True,18.04,16.44,10491,32.08,404.92,917.29,5.67,4.74,14.72,1.8,81.2,2.9,warm,below_freeze,50
HZL,kmpo,2026-03-17 01:55,0.43,extreme,700.0,beam_in_cloud,2026/03/17,0,1,True,12.14,12.03,8105,27.59,0.0,924.76,4.99,1.17,11.39,1.06,99.2,0.1,warm,bright_band,50
THV,keet,2026-03-06 03:43,0.02,light,1900.0,beam_in_cloud,2026/03/06,0,3,True,21.44,12.01,12456,26.28,0.0,869.15,5.92,9.79,20.66,6.51,80.0,3.3,warm,below_freeze,50
THV,keet,2026-02-22 12:53,0.01,light,2000.0,beam_in_cloud,2026/02/22,12,0,True,3.64,-4.33,1444,4.91,0.0,886.12,2.7,-2.51,-1.3,-24.4,16.8,21.9,mixed,above_freeze,50
THV,keet,2026-03-16 19:53,0.02,light,,no_ceiling,2026/03/16,12,7,True,3.74,-2.57,1113,6.08,17.92,900.77,6.49,-12.67,,-12.8,99.0,0.1,mixed,above_freeze,50
